SMILES,Name,IC50
FC(F)C(C)N1CCN(C[C@H]1C)c(ncn2)cc2-c3n[nH]c(c34)ccc(c4)OC5(C)CC5,448599,1.8
N#CC(C)(C)[C@@H]1CCN(C1)c(n2)cc(nc2C3CC3)NC(=O)c4cccc(n4)-c5cnn(c5)CC(F)(F)F,1446243,21300
N#CC(C)(C)n(c1)ncc1Nc(nc2)nc(c2F)OCC34CCC(O)(CC3)CC4,1258050,125
N#CC(C)(C)n(c1)ncc1Nc(nc2)nc(c2F)OCC3CCC(O)CC3,1258014,125
N#CC(C)(C)n(c1)ncc1Nc(nc2)nc(c2F)OCC3CCNCC3,1257811,125
N#CC(C)(C)n(c1)nc(Cl)c1Nc(nc2)nc(c2C(F)(F)F)C3CC3,1127535,45
N#CC(C)(C)n(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4(C)O,1325133,4.02
N#CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC(C4)O,1417532,50
N#CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417478,50
N#CC(C)(C)n(nc1)c(c12)nccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417564,50
N#CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CCC4,1417488,50
N#CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NCC(F)(F)F,1417487,50
N#CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NCCF,1417519,50
NC(=O)C(C)(C)c1nc(Cl)c(s1)Nc(n2)ncc(Br)c2NC3CC3,1046096,30
NC(=O)C(C)(C)c1nc(Cl)c(s1)Nc(nc2)nc(c2C(F)(F)F)NC3CC3,1046090,30
NC(=O)C(C)(C)c1nc(Cl)c(s1)Nc(nc2)nc(c2C(F)(F)F)NCC(F)F,1046095,30
CC(C)(C)Cn(c1)ncc1Nc(nc2)nc(c23)ccc(c3Cl)N(CC4)CCN4C5(C)COC5,51563774,9.7
CC(C)(C)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4C5(C)COC5,51481504,0.187499
CC(C)(C)Cn(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)COC5,1325104,9.73
CC(C)(C)Nc1c(C(=O)N)nnc(c12)cc(cc2)-c3ccc(cc3)S(=O)(=O)C,537819,45
CC(C)(C)c(c1)ccc(c12)nnc(C(=O)N)c2N,537792,4000
CC(C)(C)c1cc(ccc1)Sc(cc2)nn(c23)c(nn3)-c4cncs4,51059072,75
CC(C)(C)n(c1)ncc1NC(=O)c2csc(n2)-c3cn[nH]c3,1418304,60.3
CC(C)(C)n(c1)ncc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)COC5,1325086,0.792
CC(C)(C)n(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCC4N(C5)CC5(F)F,1325073,4.75
CC(C)(C)n(nc1)c(Cl)c1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)COC5,1325071,1.01
CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417571,50
CC(C)(C)n1nccc1Nc(nc2)nc(c23)cc(c(Cl)c3)N(CC4)CCN4C5(C)C(O)COC5,1325175,11.4
CS(=O)(=O)CC(C)(C)n(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417570,50
N#CC(C)(C)Cn(nc1)c(c12)cccc2Nc(nc3)nc(c3C(F)(F)F)NC4CC4,1417575,50
CC(C)(O)C(=O)N1CCN(CC1)c(ncn2)cc2-c3n[nH]c(c34)ccc(c4)OC5(C)CC5,448556,1.1
CC(C)(O)C1(C)CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC(F)(F)F,1446114,5340
CC(C)(O)C1(O)CCN(C1)c(cn2)cc(c2C(F)(F)F)NC(=O)c3cccc(n3)-c4cnn(c4)CC(F)(F)F,1446110,870
C1CC12[C@@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(nc(F)c5)N(C6)C(C7)CC67C(C)(C)O,1104656,15
C1CC12[C@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c5cc(ncc5)N(C6)C(C7)CC67C(C)(C)O,1104653,5.3
C1CC12C(C#N)(C2)c(nc3)cc(c34)n(nc4)-c5cc(ncc5)N(C6)C(C7)CC67C(C)(C)O,1104662,7.8
C1CC12C(C#N)(C2)c(cc3F)cc(c34)n(nc4)-c(ncn5)cc5N(C6)C(C7)CC67C(C)(C)O,1104625,2.3
C1CC12C(C#N)(C2)c(c(F)c3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)C(C7)CC67C(C)(C)O,1104647,3.9
CC(C)(O)C12CC(C1)N(C2)c3cc(ncn3)-n(nc4)c(c45)cc(cc5)-c6ccn[nH]6,51515147,4
C1CC1C(C#N)(C)c(cc2)cc(c23)n(nc3)-c(ncn4)cc4N(C5)C(C6)CC56C(C)(C)O,51515153,300
CC1(C)C(C#N)(C1)c(cc2)cc(c23)n(nc3)-c(ncn4)cc4N(C5)C(C6)CC56C(C)(C)O,51515152,35
C1CC1(C#N)c(cc2)cc(c23)n(nc3)-c(ncn4)cc4N(C5)C(C6)CC56C(C)(C)O,51515150,14
C1CC12[C@@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)C(C7)CC67C(C)(C)O,51515169,0.4
C1CC12C(C#N)(C2)c(nc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)C(C7)CC67C(C)(C)O,1104642,1.7
C1CC12CC(C#N)(C2)c(nc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)C(C7)CC67C(C)(C)O,1110968,19.2
CC(C)(O)C12CC(C1)N(C2)c(cn3)cc(c3C(F)(F)F)NC(=O)c4cccc(n4)-c5cn[nH]c5,1446151,13800
CC(C)(O)C12CC(C1)N(C2)c(cn3)cc(c3C(F)(F)F)NC(=O)c4cccc(n4)-c5cnn(c5)CC(F)(F)F,1446105,1540
C1CC1(C#N)Cn(c2)ncc2-c(n3)cccc3C(=O)Nc(c4C(F)(F)F)cc(cn4)N(C5)C(C6)CC56C(C)(C)O,1446130,80
C1CC12CC(C#N)(C2)c(cc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC6C(C)(C)O,51323678,2.6
C1CC12[C@@](C#N)(C2)c(cc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC6C(C)(C)O,1104610,0.6
C1CC12CC(C#N)(C2)c(cc3)cc(c34)n(nc4)-c(ncn5)cc5N(C6)CC(F)C6C(C)(C)O,1110972,3.7
